,text_latinamerica,text_spain,encoded_latinamerica_spain,encoded_latinamerica,text_prediction
454,"No. Yo dormiré en mi cama. Tú dormirás con la comida india, como de costumbre.","No. Voy a dormir en mi cama. Tú dormirás con la comida india, como siempre.","<s>No. Yo dormiré en mi cama. Tú dormirás con la comida india, como de costumbre.</s>>>>><p>No. Voy a dormir en mi cama. Tú dormirás con la comida india, como siempre.</p>","<s>No. Yo dormiré en mi cama. Tú dormirás con la comida india, como de costumbre.</s>>>>><p>","No. Yo dormiré en mi cama. Tú dormirás con la comida india, como de costumbre."
455,"del modo más auténtico y real posible. Y Jessica Yu, que dirigió este episodio,","de la forma más auténtica y real posible. Y Jessica Yu, que dirigió este episodio,","<s>del modo más auténtico y real posible. Y Jessica Yu, que dirigió este episodio,</s>>>>><p>de la forma más auténtica y real posible. Y Jessica Yu, que dirigió este episodio,</p>","<s>del modo más auténtico y real posible. Y Jessica Yu, que dirigió este episodio,</s>>>>><p>","del modo más auténtico y real posible. Y JessicaYu, que dirigió este episodio,"
456,Él es Stephen. ¿Juegas croquet? ¿Croquet?,Este es Stephen. ¿Juegas al croquet? ¿Al croquet?,<s>Él es Stephen. ¿Juegas croquet? ¿Croquet?</s>>>>><p>Este es Stephen. ¿Juegas al croquet? ¿Al croquet?</p>,<s>Él es Stephen. ¿Juegas croquet? ¿Croquet?</s>>>>><p>,¿Juegas croquet? ¿Croquet?
457,"Eres una nerd, lo disfrutarías. Echaré de menos tus burlas.",Eres tan friki que seguro que te gusta. Echo de menos que me vaciles.,"<s>Eres una nerd, lo disfrutarías. Echaré de menos tus burlas.</s>>>>><p>Eres tan friki que seguro que te gusta. Echo de menos que me vaciles.</p>","<s>Eres una nerd, lo disfrutarías. Echaré de menos tus burlas.</s>>>>><p>","Eres una nerd, lo disfrutas. Echaré de menos tus burlas."
458,Tengo un gran plan. ¿No sabes qué hacer? ¿Cómo puedo pedirle disculpas luego de lo que hice?,Tengo un superplan. ¿No tienes plan? ¿Cómo se pide perdón a alguien después de hacer lo que hice?,<s>Tengo un gran plan. ¿No sabes qué hacer? ¿Cómo puedo pedirle disculpas luego de lo que hice?</s>>>>><p>Tengo un superplan. ¿No tienes plan? ¿Cómo se pide perdón a alguien después de hacer lo que hice?</p>,<s>Tengo un gran plan. ¿No sabes qué hacer? ¿Cómo puedo pedirle disculpas luego de lo que hice?</s>>>>><p>,"Digo, tengo un plan. ¿No sabes qué hacer? ¿Cómo puedo pedirle perdón después de lo que hice?"
459,"Lisa, saluda a la glamoruela y el abuelo.","Lisa, saluda a la abu y al yayo.","<s>Lisa, saluda a la glamoruela y el abuelo.</s>>>>><p>Lisa, saluda a la abu y al yayo.</p>","<s>Lisa, saluda a la glamoruela y el abuelo.</s>>>>><p>","Lisa, saluda a la glamoruela y el abuelo."
460,Tira esa mierda. ¿Por la ventana?,Tírala. ¿Por la ventana?,<s>Tira esa mierda. ¿Por la ventana?</s>>>>><p>Tírala. ¿Por la ventana?</p>,<s>Tira esa mierda. ¿Por la ventana?</s>>>>><p>,¿Por la ventana?
461,Mi mamá estaba enferma y mi padre ya no estaba.,"Mi madre estaba enferma y mi padre ya no estaba,","<s>Mi mamá estaba enferma y mi padre ya no estaba.</s>>>>><p>Mi madre estaba enferma y mi padre ya no estaba,</p>",<s>Mi mamá estaba enferma y mi padre ya no estaba.</s>>>>><p>,Mi madre estaba enferma y mi padre no estaba.
462,"porque le diste el solo de clarinete a otro? Nadie de la banda de música pega así, salvo Terry.",cabreado porque le diste el solo de clarinete a otro? Ninguno de los chicos de la banda pega tan fuerte. Salvo Terry.,"<s>porque le diste el solo de clarinete a otro? Nadie de la banda de música pega así, salvo Terry.</s>>>>><p>cabreado porque le diste el solo de clarinete a otro? Ninguno de los chicos de la banda pega tan fuerte. Salvo Terry.</p>","<s>porque le diste el solo de clarinete a otro? Nadie de la banda de música pega así, salvo Terry.</s>>>>><p>","porque le diste el solo de clarinete a otro? Nadie de la banda de música pega así, salvo Terry."
463,Qué loco. Quedaste atónito. Entiendo.,Qué pasada. Te has quedado sin palabras. Comprendo.,<s>Qué loco. Quedaste atónito. Entiendo.</s>>>>><p>Qué pasada. Te has quedado sin palabras. Comprendo.</p>,<s>Qué loco. Quedaste atónito. Entiendo.</s>>>>><p>,¿Qué? ¿Has perdido el juicio? Lo siento.
464,"¡Oh! Disculpe. ¿Debería…? Disculpen, yo…","Ah, disculpe. ¿Debería…? Lo siento, es…","<s>¡Oh! Disculpe. ¿Debería…? Disculpen, yo…</s>>>>><p>Ah, disculpe. ¿Debería…? Lo siento, es…</p>","<s>¡Oh! Disculpe. ¿Debería…? Disculpen, yo…</s>>>>><p>",Diga. ¿Debería…? Disculpe. ¿Debería…? Disculpe.
465,¿No te cansas de tener miedo?,¿Ni tú de tener miedo?,<s>¿No te cansas de tener miedo?</s>>>>><p>¿Ni tú de tener miedo?</p>,<s>¿No te cansas de tener miedo?</s>>>>><p>,¿No te cansas de tener miedo?
466,fingir que es de mantenimiento e insinuarse un poco.,"por uno de mantenimiento o yo qué sé, e insinuárseme.","<s>fingir que es de mantenimiento e insinuarse un poco.</s>>>>><p>por uno de mantenimiento o yo qué sé, e insinuárseme.</p>",<s>fingir que es de mantenimiento e insinuarse un poco.</s>>>>><p>,es de mantenimiento e insinuarse un poco.
467,Eso va para todos.,Y esto va por todos. ¿Vale?,<s>Eso va para todos.</s>>>>><p>Y esto va por todos. ¿Vale?</p>,<s>Eso va para todos.</s>>>>><p>,¿Qué pasa?
468,"Lo aterrador es que, como es aprendizaje automático, es una caja negra incluso para los programadores.","Y lo peor es que, al tratarse de aprendizaje automático, es una caja negra hasta para los programadores.","<s>Lo aterrador es que, como es aprendizaje automático, es una caja negra incluso para los programadores.</s>>>>><p>Y lo peor es que, al tratarse de aprendizaje automático, es una caja negra hasta para los programadores.</p>","<s>Lo aterrador es que, como es aprendizaje automático, es una caja negra incluso para los programadores.</s>>>>><p>","Lo aterrador es que, como es aprendizaje automático, es una caja negra que no se puede usar para los programadores."
469,¡Yo tengo valentía! También Kevin y Colette.,¡Yo soy valiente! ¡Y también Kevin y Colette!,<s>¡Yo tengo valentía! También Kevin y Colette.</s>>>>><p>¡Yo soy valiente! ¡Y también Kevin y Colette!</p>,<s>¡Yo tengo valentía! También Kevin y Colette.</s>>>>><p>,¡Yo tengo valentía! También Kevin y Colette.
470,Mira eso.,"Hala, mira.","<s>Mira eso.</s>>>>><p>Hala, mira.</p>",<s>Mira eso.</s>>>>><p>,¿Ves?
471,¡Bien hecho!,¡Bien hecho!,<s>¡Bien hecho!</s>>>>><p>¡Bien hecho!</p>,<s>¡Bien hecho!</s>>>>><p>,¡Bien hecho!
472,"Si ella aceptara, se iría con un empate con el campeón del mundo. Si siguen jugando,","Si acepta, saldrá del escenario empatada con el campeón del mundo. Si no, cuando avance la partida y comience el final,","<s>Si ella aceptara, se iría con un empate con el campeón del mundo. Si siguen jugando,</s>>>>><p>Si acepta, saldrá del escenario empatada con el campeón del mundo. Si no, cuando avance la partida y comience el final,</p>","<s>Si ella aceptara, se iría con un empate con el campeón del mundo. Si siguen jugando,</s>>>>><p>","Si ella aceptara, se iría con un empate con el campeón del mundo. Si siguen jugando,"
473,"Hablo de tortura, Joyce.","Son torturadores, Joyce.","<s>Hablo de tortura, Joyce.</s>>>>><p>Son torturadores, Joyce.</p>","<s>Hablo de tortura, Joyce.</s>>>>><p>","Hablo de tortura, Joyce."
474,a ti... y a ti...,...a ti... ...y a ti...,<s>a ti... y a ti...</s>>>>><p>...a ti... ...y a ti...</p>,<s>a ti... y a ti...</s>>>>><p>,...a ti y...
475,El tiempo vuela en este lugar.,El tiempo pasa volando aquí.,<s>El tiempo vuela en este lugar.</s>>>>><p>El tiempo pasa volando aquí.</p>,<s>El tiempo vuela en este lugar.</s>>>>><p>,El tiempo vuela en este sitio.
476,Te refieres a un dream team intergaláctico en una misión.,Así que se trata de un eam intergaláctico cumpliendo una misión.,<s>Te refieres a un dream team intergaláctico en una misión.</s>>>>><p>Así que se trata de un eam intergaláctico cumpliendo una misión.</p>,<s>Te refieres a un dream team intergaláctico en una misión.</s>>>>><p>,Un dream team intergaláctico en una misión.
477,Me encantan los hombres espontáneos. OJALÁ PUDIERA.,Me gustan los hombres espontáneos.,<s>Me encantan los hombres espontáneos. OJALÁ PUDIERA.</s>>>>><p>Me gustan los hombres espontáneos.</p>,<s>Me encantan los hombres espontáneos. OJALÁ PUDIERA.</s>>>>><p>,EL HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO DE HIJO
478,Me cayó muy bien.,Y me gustó mucho.,<s>Me cayó muy bien.</s>>>>><p>Y me gustó mucho.</p>,<s>Me cayó muy bien.</s>>>>><p>,Me ha caído muy bien.
479,¿Qué es? Nuestro aniversario.,La contraseña es 061608. ¿Qué es? Nuestro aniversario de boda.,<s>¿Qué es? Nuestro aniversario.</s>>>>><p>La contraseña es 061608. ¿Qué es? Nuestro aniversario de boda.</p>,<s>¿Qué es? Nuestro aniversario.</s>>>>><p>,¿Qué es? Nuestro aniversario.
480,¿De veras quieres ser como el Titanic? ¡Se ganó cientos de Óscar!,¿En serio? ¿Lo vas a comparar con Titanic? ¡Ganó cien premios Óscar!,<s>¿De veras quieres ser como el Titanic? ¡Se ganó cientos de Óscar!</s>>>>><p>¿En serio? ¿Lo vas a comparar con Titanic? ¡Ganó cien premios Óscar!</p>,<s>¿De veras quieres ser como el Titanic? ¡Se ganó cientos de Óscar!</s>>>>><p>,¿Quieres ser como el Titanic? ¡Se ha ganado miles de Óscar!
481,pólipos que viven en colonias conectadas por un esqueleto duro.,"pólipos que viven en colonias, unidos por un esqueleto duro.","<s>pólipos que viven en colonias conectadas por un esqueleto duro.</s>>>>><p>pólipos que viven en colonias, unidos por un esqueleto duro.</p>",<s>pólipos que viven en colonias conectadas por un esqueleto duro.</s>>>>><p>,que viven en colonias conectadas por un cráneo duro.
482,Parece que así está bien.,Supongo que no.,<s>Parece que así está bien.</s>>>>><p>Supongo que no.</p>,<s>Parece que así está bien.</s>>>>><p>,¿Qué tal está?
483,Gracias. ¿Por qué Delilah no hizo que arrestaran a Henderson?,Gracias. ¿Por qué Delilah no ha hecho que lo detengan ya?,<s>Gracias. ¿Por qué Delilah no hizo que arrestaran a Henderson?</s>>>>><p>Gracias. ¿Por qué Delilah no ha hecho que lo detengan ya?</p>,<s>Gracias. ¿Por qué Delilah no hizo que arrestaran a Henderson?</s>>>>><p>,Gracias. ¿Por qué Delilah no hizo que arrestaran a Henderson?
484,"Hola, Olivia.","Hola, Liv.","<s>Hola, Olivia.</s>>>>><p>Hola, Liv.</p>","<s>Hola, Olivia.</s>>>>><p>","¿Qué tal, Olivia?"
485,Me descontrolé un poco. Es la guerra y el hijo de puta de Johnson.,Es la guerra y ese hijoputa de Johnson.,<s>Me descontrolé un poco. Es la guerra y el hijo de puta de Johnson.</s>>>>><p>Es la guerra y ese hijoputa de Johnson.</p>,<s>Me descontrolé un poco. Es la guerra y el hijo de puta de Johnson.</s>>>>><p>,y me he vuelto un poco loco. Es la guerra y el hijo de puta de Johnson.
486,No sé. Estaba digiriendo toda la situación.,No lo sé. Estaba asimilando todo.,<s>No sé. Estaba digiriendo toda la situación.</s>>>>><p>No lo sé. Estaba asimilando todo.</p>,<s>No sé. Estaba digiriendo toda la situación.</s>>>>><p>,No sé. Estaba digiriendo toda la situación.
487,"así que estarás en shock. Sin duda, lo atraparon. No puedo hablar de eso ahora.","estarás anonadada. De que lo cogieran, claro. No puedo hablar de eso ahora.","<s>así que estarás en shock. Sin duda, lo atraparon. No puedo hablar de eso ahora.</s>>>>><p>estarás anonadada. De que lo cogieran, claro. No puedo hablar de eso ahora.</p>","<s>así que estarás en shock. Sin duda, lo atraparon. No puedo hablar de eso ahora.</s>>>>><p>",...estás en shock. No puedo hablar de eso ahora.
488,Qué bien. Tenía ganas de conocer gente. Pasen. Estaba por ver mi tercera película favorita de Shaq.,Qué bien. Tenía ganas de conocer a gente nueva hoy. Pasad. Estaba a punto de ver mi tercera peli preferida de Shaq.,<s>Qué bien. Tenía ganas de conocer gente. Pasen. Estaba por ver mi tercera película favorita de Shaq.</s>>>>><p>Qué bien. Tenía ganas de conocer a gente nueva hoy. Pasad. Estaba a punto de ver mi tercera peli preferida de Shaq.</p>,<s>Qué bien. Tenía ganas de conocer gente. Pasen. Estaba por ver mi tercera película favorita de Shaq.</s>>>>><p>,¿Qué tal? Tenía ganas de conocer gente. Pasad. Iba a ver mi tercera película favorita de Shaq.
489,Mi hermano ama definir. Ojalá se le pase.,Otra vez definiendo. Igual es una fase.,<s>Mi hermano ama definir. Ojalá se le pase.</s>>>>><p>Otra vez definiendo. Igual es una fase.</p>,<s>Mi hermano ama definir. Ojalá se le pase.</s>>>>><p>,Mi hermano ama definir. Ojalá se le pase.
490,y así ocultar los mensajes secretos en el espacio perdido.,y ocultó los mensajes secretos en su espacio perdido.,<s>y así ocultar los mensajes secretos en el espacio perdido.</s>>>>><p>y ocultó los mensajes secretos en su espacio perdido.</p>,<s>y así ocultar los mensajes secretos en el espacio perdido.</s>>>>><p>,y así ocultar los mensajes secretos en el espacio perdido.
491,Fue un error.,Fue un error.,<s>Fue un error.</s>>>>><p>Fue un error.</p>,<s>Fue un error.</s>>>>><p>,Fue un error.
492,No puedo hacer nada. Ella quería que tuviera un smartphone.,No puedo hacer nada. Por eso quiso que tuviera móvil.,<s>No puedo hacer nada. Ella quería que tuviera un smartphone.</s>>>>><p>No puedo hacer nada. Por eso quiso que tuviera móvil.</p>,<s>No puedo hacer nada. Ella quería que tuviera un smartphone.</s>>>>><p>,No puedo hacer nada. Quería que tuviera un smartphone.
493,¿Saben por qué? Sí. ¿Me lo dicen? Buena pregunta. Buena respuesta. Nunca sabes en quién confiar en un hotel.,¿Sabéis por qué? Sí. ¿Por qué? Buena pregunta. Buena respuesta. Es complicado fiarse de alguien.,<s>¿Saben por qué? Sí. ¿Me lo dicen? Buena pregunta. Buena respuesta. Nunca sabes en quién confiar en un hotel.</s>>>>><p>¿Sabéis por qué? Sí. ¿Por qué? Buena pregunta. Buena respuesta. Es complicado fiarse de alguien.</p>,<s>¿Saben por qué? Sí. ¿Me lo dicen? Buena pregunta. Buena respuesta. Nunca sabes en quién confiar en un hotel.</s>>>>><p>,¿Sabéis por qué? Sí. ¿Me lo dicen? Buena pregunta. No sabes en quién confiar.
494,"¡Cuenta conmigo! Esto es emocionante. Alarmante, pero emocionante.","Me apunto. Qué emocionante. Inquietante, pero muy emocionante.","<s>¡Cuenta conmigo! Esto es emocionante. Alarmante, pero emocionante.</s>>>>><p>Me apunto. Qué emocionante. Inquietante, pero muy emocionante.</p>","<s>¡Cuenta conmigo! Esto es emocionante. Alarmante, pero emocionante.</s>>>>><p>","Dale conmigo. ¡Cuenta conmigo! ¡Alarmante, pero emocionante!"
495,"Qué ilusa, Frankie. Te lo están haciendo de nuevo. No intentes separar a nuestra familia","Estás pirada, Frankie. Te lo están haciendo de nuevo. No intentes romper nuestra familia feliz","<s>Qué ilusa, Frankie. Te lo están haciendo de nuevo. No intentes separar a nuestra familia</s>>>>><p>Estás pirada, Frankie. Te lo están haciendo de nuevo. No intentes romper nuestra familia feliz</p>","<s>Qué ilusa, Frankie. Te lo están haciendo de nuevo. No intentes separar a nuestra familia</s>>>>><p>","¿Qué? Frankie, te lo estás haciendo de nuevo. No intentes separarnos de nuestra familia"
496,¿Lo conocen?,"¿Lo conoces? Averigua quién es. Sí, señor.","<s>¿Lo conocen?</s>>>>><p>¿Lo conoces? Averigua quién es. Sí, señor.</p>",<s>¿Lo conocen?</s>>>>><p>,¿Lo conocéis?
497,Me preguntaste si estaba embarazada. Maldición.,Me has preguntado si estoy embarazada. Maldita sea.,<s>Me preguntaste si estaba embarazada. Maldición.</s>>>>><p>Me has preguntado si estoy embarazada. Maldita sea.</p>,<s>Me preguntaste si estaba embarazada. Maldición.</s>>>>><p>,¿Me preguntas si estaba embarazada? Joder.
498,esto no funcionará. No ganaremos la Batalla de las Bandas,"no va a funcionar. No ganaremos la Batalla de Bandas, y serás un pringado de por vida.","<s>esto no funcionará. No ganaremos la Batalla de las Bandas</s>>>>><p>no va a funcionar. No ganaremos la Batalla de Bandas, y serás un pringado de por vida.</p>",<s>esto no funcionará. No ganaremos la Batalla de las Bandas</s>>>>><p>,...no va a funcionar. No ganaremos la Batalla de Bandas
499,"Sácale el arma y haz que dé la vuelta. ""Sácale el arma"", qué fácil.",Desármalo y oblígalo a dar la vuelta. Lo desarmo como si nada.,"<s>Sácale el arma y haz que dé la vuelta. ""Sácale el arma"", qué fácil.</s>>>>><p>Desármalo y oblígalo a dar la vuelta. Lo desarmo como si nada.</p>","<s>Sácale el arma y haz que dé la vuelta. ""Sácale el arma"", qué fácil.</s>>>>><p>","párate a darle la vuelta y haz que dé la vuelta. 'Sácale el arma', qué fácil."
